Letter,Tot. SSE,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,"['A', 'H']","['B', 'K', 'P', 'R']","['C', 'D', 'G', 'O', 'Q']","['E', 'F', 'L']","['I', 'J', 'T']","['M', 'N']","['U', 'V', 'Y']","['W', 'X']","['S', 'Z']"
'A',0.0081961594576384737,0.00021024631997003035,0.8552726650602066,0.00043540313214742696,0.99999887176006963,0.99082538247380536,0.78283414662228812,0.52145194421425078,0.24353406304324812,0.038755927965155861,0.97976728363412235,0.9484045273695737,0.018772441080326979,1.4166157835194226e-05,0.00068281552825025964,8.8793095059425394e-05,0.0015359849382848491,0.028327684556482987,0.02137510409764028,0.021896287863389072,0.013729658513869676,0.016522830637441369,1.6226965019964081e-06,0.004686385733967526,0.010027385725083457,0.00016597257967833099,0.014722228882010009,0.014638280083809928,1.6921919094592425e-05,0.0010024846088734522,3.7431028872879241e-06,0.00079081196804339532,0.012566011552233294,0.046422401210626123,1.501908919903511e-06,0.010506400913503626,1.6924981304252032e-05
'A',0.0047711045212058207,0.16673298566884753,0.99158001480880531,0.33838212810895468,0.99983694819474478,0.97914731815578648,0.97336944664639913,0.72357797033412719,0.012263173732263755,7.7421101974830343e-05,0.99989982086649976,0.94783117126675365,0.017091567662049181,2.1040548642993567e-05,0.0025840202548751434,5.3723216481674147e-05,0.0058824480372123593,0.014125306337261858,0.0087026287531774011,0.0055863395896831357,0.0016872553998989422,0.00070594140771251725,2.4855100088623745e-06,0.00013310375900982019,0.0049692193069105365,8.1199831654532329e-05,0.0028661953638714557,0.0035229572921136173,1.5817967443332667e-05,0.0028707411996925134,2.426228835701349e-06,0.00052488471857360208,0.0097592310582721199,0.035079810223306543,5.9681173597052427e-07,0.0051578780113715438,1.3878952648924441e-06
'A',0.005213911447385631,0.19552164116360149,0.99213252171160016,0.29969892556289801,0.99718018485997251,0.99974696763390414,0.97668936383382932,0.51429508477281727,0.10020112931437265,0.00010057783929289206,0.89439613020249209,0.94827403548342448,0.024635943406224388,4.6276055614111788e-05,0.0015008103255845816,9.3824820040665582e-05,0.0060366974192005993,0.024620447635820501,0.0088115348530825692,0.01435800478422781,0.0032640003147834272,0.001658952173975587,1.3048243129160192e-06,0.00017315638933539532,0.0024366192922628269,0.00014988923005556417,0.0072671020163340349,0.0047902864852100652,1.1157222903458446e-05,0.0022488240648453981,7.7626973736147959e-06,0.0002291394651868315,0.0078073412920346089,0.028871609579012976,6.291297961678233e-07,0.0028199255929010577,7.3106301816960866e-06
'B',0.0064926391939708252,0.9995983412642292,0.0012647216812781766,0.99500174046742473,0.97087656559555013,0.99719845412225949,0.98209195997807486,0.0086631494810872414,0.0012580497469261679,0.54482410068110343,0.99934080000811587,0.010966294533160677,0.93457154210769433,4.5336686057011136e-05,0.013224728991872055,0.011038025557103752,0.0059916472078694058,0.0030355511130398462,1.0418047342307128e-05,0.01558211537495652,0.0020233985719693348,5.6168329189398717e-05,0.0025971636472102945,1.1725652488815128e-05,0.00011578195593032838,1.0712822898136177e-07,0.037201988799952804,4.4981200340728252e-06,3.6431912605514464e-05,0.005333494807910461,0.00024888045772964595,5.9722024441441719e-06,0.0073168192332442022,2.7270790637479416e-06,1.0498958114839271e-06,0.0053652381706597559,0.0010820937468816296
'B',0.0063832589077816512,0.99940330027249968,0.0045013122522893582,0.9939556207864767,0.9910562412722802,0.99648843707163592,0.93432686398604781,0.0015507315117269565,0.00027660206786132065,0.97573516422843332,0.9999850221085671,0.0018363222777900638,0.93467298273677324,8.5102390545530892e-05,0.021762658372584922,0.0038261438226443391,0.0015785292696695236,0.0080716079114577927,4.9699163728418984e-06,0.023820291667522722,0.0013480408078668188,8.5812596089672899e-06,0.012287232613673834,3.4326084352624098e-05,1.3539451958716053e-05,1.5219861283763559e-07,0.022064936678294494,9.4412773309174193e-07,5.48124509795347e-06,0.0019970281864831866,0.00015232033537586868,2.1869389892010269e-05,0.015828584672320713,7.9035321071751534e-07,2.5208600178500166e-06,0.0096128877869052741,0.0015294076693551035
'B',0.0078362541723483534,0.99973556894157167,0.01841372852509271,0.98544926379684161,0.97962611462655569,0.99785495669400304,0.85060307098559895,0.002987721349635914,0.018833079062982677,0.489624608383045,0.99414132490243745,0.011993312012112045,0.92132503828960499,6.4430214987341899e-05,0.0065800598148065747,0.021219858742192989,0.0057142474229665615,0.0043453907882543266,2.2454530990189442e-05,0.009792754299538969,0.0016780678747225404,0.00010918471012006239,0.0027619995020612626,1.4868323264040467e-05,0.00018060048519686305,1.0454557128970894e-07,0.026631129240366709,7.6763802359410344e-06,6.4764247977094742e-05,0.008233130439906625,0.00017506717143890056,8.0720236452185007e-06,0.0061597720924965651,2.0177578770641839e-06,1.4359915079730243e-06,0.0056343537831336603,0.0021055186319755928
'C',0.0076047225679881031,0.96186536402320866,0.97082889098789205,0.99992237607784462,0.046902594867944514,0.99910624924341218,0.17402989632471416,0.33964323207782432,0.25650626590010506,0.9522396207105025,0.0083239284028186235,9.4991835611884475e-06,6.2611402726408686e-05,0.93234806994647046,0.0013420151786717627,0.0091937591657885002,0.00031182638455330675,0.030623234900625958,0.011902045840201223,0.00074121267094691553,1.0720353596420079e-05,1.5026911338213019e-05,0.018062617799369032,0.00016630333590068967,3.4748922899152609e-06,0.032058601411940939,0.00037377921393917359,7.9955563122860262e-05,1.6520034087215341e-05,0.0097947881985256374,0.00025353409284733662,0.0020729555372161271,0.0011683068627095375,0.00011402990603401327,0.0097192412941734859,1.6886619581424422e-05,0.017640669191551391
'C',0.0069338597066238008,0.99150854805943411,0.99505824468768278,0.99996039631107114,0.054549175453044017,0.9994047752926225,0.01532650635990148,0.43908819366421509,0.44602225058365857,0.90489407972994718,0.0018884860131128641,4.985901205223388e-06,1.5465333670952981e-05,0.94071558087206109,0.0002507658994770237,0.0081308538620587806,0.00012305070799011199,0.020599922766431682,0.019172984401831416,0.00031978453568265366,6.3216526504827189e-06,4.8897961943654434e-05,0.011491917046305823,0.00025626708416631494,4.3563618378309019e-06,0.0336780362069364,0.00013429499242012945,0.00019547478645724753,4.5768920114400761e-05,0.0089561748080885725,0.00015851992693370417,0.0012270376171828058,0.00069784302500895885,6.0655575273245864e-05,0.018332469295341765,1.575793437129836e-05,0.029601536575192686
'C',0.0067480291969254881,0.9799462660428504,0.95273539518631556,0.99975422802528879,0.010222415953980853,0.99992319232387195,0.075752635863294768,0.38250052199315798,0.25443647533569302,0.94603694542841987,0.0043326761926580359,5.8351786812185376e-06,4.2936691463161004e-05,0.94935040864612497,0.0010645354931252489,0.013925171046342664,0.00025339793562698852,0.027433547844472175,0.01853125228419918,0.00044211764387429959,7.4651271149252622e-06,1.8939368734785103e-05,0.032514984636178426,0.00021788399032777488,4.8563224839684008e-06,0.029581220093982726,0.00028357672490409943,8.7153686302221458e-05,2.675419389715456e-05,0.013506313990750965,0.00018196707463297116,0.003053248351395844,0.0011098661899062278,9.3481523679144694e-05,0.015958792304294669,1.7034675536056059e-05,0.022610324360025962
'D',0.0066233813765371082,0.028219734435583659,0.0092950536226901002,0.99934545029187127,0.00015171042771597754,0.99991831579702661,0.99937126536556109,0.87831837259688716,0.043914202580853164,0.96647682389337863,0.71081087152635991,3.8394797956653402e-05,0.0020050164452645068,4.6132557148893378e-05,0.94287618735313472,0.00013481924303584405,0.00012613413260740089,0.00015664343381005262,2.1112839823385575e-06,0.019492570983286005,0.016079743367098172,7.2212931077375036e-07,0.030692395293813905,0.0026439520463691257,0.016299942868241851,0.0041394295344359859,0.0012749906363523464,8.178472622680237e-05,8.656910615015367e-06,0.00026888726600186397,8.8090579499690806e-05,0.031241279596541525,0.0012046415077489204,0.0095077252236563485,0.00070456579477367785,0.020389693390139917,1.485396596827033e-06
