Letter,Tot. SSE,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,"['A', 'H']","['B', 'K', 'P', 'R']","['C', 'D', 'G', 'O', 'Q']","['E', 'F', 'L']","['I', 'J', 'T']","['M', 'N']","['U', 'V', 'Y']","['W', 'X']","['S', 'Z']",,,,,,,,,,,,,,,,,
'A',0.003220771,0.993330113,0.009864497,0.040034352,0.984490545,0.989215694,0.000686478,0.723377971,0.001064572,0.998400334,0.216087254,0.962272165,3.35E-07,0.015165673,8.65E-06,0.001157845,2.68E-06,0.002227775,0.000637832,0.037224965,1.74E-05,0.004808231,0.007825066,0.001116814,2.56E-05,0.003211905,5.10E-06,2.10E-07,0.008662349,6.35E-06,0.000659255,0.000382042,0.000119775,5.41E-05,0.001316577,0.000130447,0.001294437
'A',0.002979271,0.992118284,0.003011868,0.083761028,0.779851063,0.899244988,0.039484956,0.853374514,0.001084415,0.984410453,0.076137989,0.958440808,2.74E-06,0.028274525,5.60E-06,0.001747945,3.66E-06,0.004015659,0.002198361,0.011244364,1.10E-05,0.003166961,0.008906472,0.000288467,2.00E-05,0.004481859,2.26E-05,7.19E-07,0.013851059,1.33E-05,0.000189085,0.000405424,0.000243223,0.000102262,0.000448187,6.46E-05,0.000594472
'A',0.00599593,0.968606201,1.83E-05,0.036660991,0.000499694,0.958886843,0.431488037,0.940617436,0.000661924,0.986004357,0.038303303,0.937298021,4.41E-05,0.024270351,2.26E-07,0.00139952,1.92E-05,0.002226433,0.030453007,0.000201305,3.08E-06,3.85E-05,0.012961201,0.000106823,3.03E-05,0.002420896,0.002105313,6.69E-05,0.013730751,1.73E-05,3.38E-06,5.81E-05,0.013179513,0.000314306,2.60E-05,5.29E-05,0.000595777
'B',0.004988558,0.486277323,0.958302624,0.999934984,0.0140726,0.030209241,0.000113883,0.999263667,0.000162109,0.805365568,0.001281728,5.57E-05,0.941192642,0.000217487,0.010059726,0.002204956,1.47E-05,0.004419065,0.007541979,9.67E-06,3.66E-05,0.023391527,0.000450284,3.27E-07,2.42E-06,0.003266143,0.000164204,6.88E-05,0.024286508,0.008961238,7.09E-06,0.008814107,0.000429299,0.003506122,3.99E-05,9.14E-05,0.005417737
'B',0.00659217,0.247605778,0.853710861,0.999947885,0.013195113,0.065578129,0.332723478,0.99934225,0.000317306,0.40777108,0.030263802,1.57E-05,0.929036388,7.93E-05,0.020126408,0.000385059,0.000156376,0.011173708,0.008198609,5.85E-05,0.001382997,0.005816284,3.37E-05,4.65E-07,1.52E-05,0.002013328,0.007925774,0.001842266,0.004683963,0.023046162,1.90E-05,0.008935887,0.002767296,0.014410683,2.43E-05,0.000149472,0.00217684
'B',0.005018273,0.489105928,0.958014745,0.999934986,0.014145916,0.029844087,0.000115429,0.99924551,0.000162884,0.806366385,0.00129414,5.63E-05,0.940817799,0.000216499,0.009921595,0.002215423,1.46E-05,0.004392152,0.007626431,9.55E-06,3.61E-05,0.023391616,0.000454824,3.25E-07,2.39E-06,0.003257511,0.000161984,6.80E-05,0.024094328,0.008792926,7.10E-06,0.008819711,0.000428606,0.003505845,4.01E-05,9.15E-05,0.005361727
'C',1.07451428,0.130340301,0.218859308,0.051264398,0.146945288,0.003515457,0.095777596,0.998777383,0.097718271,0.673429733,0.069141607,0.020196283,0.039407176,0.145024452,0.005651414,0.000484081,6.40E-05,0.36518815,0.01218575,0.004557596,0.00020904,0.00321466,0.003615059,0.000442397,0.001362489,0.455396066,0.002687978,0.009484929,0.016448175,0.003939321,1.36E-05,0.014074979,0.001109236,0.000913436,0.00018637,0.00133252,0.003185237
'C',0.008592725,0.122552373,0.002480778,0.000240717,0.011810027,0.690341886,0.008903374,0.992890838,0.907413262,0.940526072,0.000612606,0.029128691,6.00E-05,0.939494583,0.000328604,0.027835341,0.000634268,0.005877816,0.000463066,0.000510106,3.98E-06,7.17E-05,0.030171252,0.011681929,0.015195969,0.024150101,0.00037555,0.009815121,0.033560119,0.013749032,2.67E-05,1.81E-05,0.00011883,6.05E-05,1.15E-05,1.26E-05,0.000509291
'C',0.021776655,0.021128901,0.02988212,0.095666212,0.1555622,0.378813102,0.000653802,0.961716446,0.90217025,0.909783703,0.088258161,0.004993093,0.000190009,0.882246189,0.005657449,0.015213992,0.000652558,0.020515942,0.000686486,0.000591609,1.45E-05,0.000328062,0.010966191,0.014346956,0.012586338,0.078219558,0.00022771,0.018489328,0.013654497,0.008286532,4.65E-05,5.79E-05,3.49E-05,8.37E-05,6.18E-05,4.84E-05,0.000387135
'D',0.003272158,9.96E-06,0.060288613,0.993007633,0.704159716,0.054323147,0.274243336,0.913841684,0.957032204,0.37259588,0.995624784,1.15E-06,4.48E-05,0.000339912,0.958752869,0.000938377,0.000502037,0.001775216,8.76E-05,0.000286465,0.005674921,0.00013656,4.07E-07,0.002438047,0.017484234,0.021959063,4.74E-05,0.006436265,3.88E-05,5.77E-05,0.001627258,0.000136265,2.53E-07,0.015841022,0.021100445,9.29E-05,1.77E-05
